HDR,ROLLING SYSTEM DEMAND
VD,20211001123000,26370
VD,20211001123500,26221
VD,20211001124000,26010
VD,20211001124500,25953
VD,20211001125000,25973
VD,20211001125500,25781
VD,20211001130000,25745
VD,20211001130500,25703
VD,20211001131000,25570
VD,20211001131500,25468
VD,20211001132000,25397
VD,20211001132500,25434
VD,20211001133000,25331
VD,20211001133500,25272
VD,20211001134000,25174
VD,20211001134500,25126
VD,20211001135000,25095
VD,20211001135500,24943
VD,20211001140000,24871
VD,20211001140500,25008
VD,20211001141000,24990
VD,20211001141500,24967
VD,20211001142000,24967
VD,20211001142500,24912
VD,20211001143000,24901
VD,20211001143500,24941
VD,20211001144000,25089
VD,20211001144500,25344
VD,20211001145000,25473
VD,20211001145500,25557
VD,20211001150000,25743
VD,20211001150500,25883
VD,20211001151000,26053
VD,20211001151500,26275
VD,20211001152000,26484
VD,20211001152500,26822
VD,20211001153000,26972
VD,20211001153500,27288
VD,20211001154000,27603
VD,20211001154500,27912
VD,20211001155000,28227
VD,20211001155500,28459
VD,20211001160000,28682
VD,20211001160500,28889
VD,20211001161000,29047
VD,20211001161500,29354
VD,20211001162000,29822
VD,20211001162500,30022
VD,20211001163000,30069
VD,20211001163500,30091
VD,20211001164000,30172
VD,20211001164500,30473
VD,20211001165000,30753
VD,20211001165500,30855
VD,20211001170000,30984
VD,20211001170500,31131
VD,20211001171000,31294
VD,20211001171500,31292
VD,20211001172000,31375
VD,20211001172500,31417
VD,20211001173000,31519
VD,20211001173500,31660
VD,20211001174000,31930
VD,20211001174500,32083
VD,20211001175000,32207
VD,20211001175500,32308
VD,20211001180000,32225
VD,20211001180500,32276
VD,20211001181000,32401
VD,20211001181500,32491
VD,20211001182000,32551
VD,20211001182500,32438
VD,20211001183000,32359
VD,20211001183500,32259
VD,20211001184000,32029
VD,20211001184500,32017
VD,20211001185000,32042
VD,20211001185500,31916
VD,20211001190000,31676
VD,20211001190500,31847
VD,20211001191000,31751
VD,20211001191500,31446
VD,20211001192000,31145
VD,20211001192500,31033
VD,20211001193000,30724
VD,20211001193500,30632
VD,20211001194000,30576
VD,20211001194500,30554
VD,20211001195000,30534
VD,20211001195500,30317
VD,20211001200000,30190
VD,20211001200500,30111
VD,20211001201000,29896
VD,20211001201500,29652
VD,20211001202000,29345
VD,20211001202500,29074
VD,20211001203000,28879
VD,20211001203500,28794
VD,20211001204000,28602
VD,20211001204500,28343
VD,20211001205000,28109
VD,20211001205500,27801
VD,20211001210000,27526
VD,20211001210500,27250
VD,20211001211000,27008
VD,20211001211500,26804
VD,20211001212000,26495
VD,20211001212500,26172
VD,20211001213000,25860
VD,20211001213500,25673
VD,20211001214000,25324
VD,20211001214500,25166
VD,20211001215000,24998
VD,20211001215500,24821
VD,20211001220000,24625
VD,20211001220500,24613
VD,20211001221000,22809
VD,20211001221500,22828
VD,20211001222000,24552
VD,20211001222500,24408
VD,20211001223000,24060
VD,20211001223500,23937
VD,20211001224000,23916
VD,20211001224500,23738
VD,20211001225000,23469
VD,20211001225500,23283
VD,20211001230000,23181
VD,20211001230500,23535
VD,20211001231000,23509
VD,20211001231500,23357
VD,20211001232000,23183
VD,20211001232500,23004
VD,20211001233000,22748
VD,20211001233500,22624
VD,20211001234000,22477
VD,20211001234500,22481
VD,20211001235000,22385
VD,20211001235500,22279
VD,20211002000000,22270
VD,20211002000500,22431
VD,20211002001000,22420
VD,20211002001500,22280
VD,20211002002000,22207
VD,20211002002500,22346
VD,20211002003000,22276
VD,20211002003500,22433
VD,20211002004000,22517
VD,20211002004500,22517
VD,20211002005000,22428
VD,20211002005500,22317
VD,20211002010000,22269
VD,20211002010500,22417
VD,20211002011000,22479
VD,20211002011500,22387
VD,20211002012000,22342
VD,20211002012500,22343
VD,20211002013000,22292
VD,20211002013500,22219
VD,20211002014000,22124
VD,20211002014500,22081
VD,20211002015000,22074
VD,20211002015500,21955
VD,20211002020000,21882
VD,20211002020500,21948
VD,20211002021000,22062
VD,20211002021500,22102
VD,20211002022000,21996
VD,20211002022500,21933
VD,20211002023000,21745
VD,20211002023500,21260
VD,20211002024000,20380
VD,20211002024500,20387
VD,20211002025000,20520
VD,20211002025500,20613
VD,20211002030000,20504
VD,20211002030500,20389
VD,20211002031000,20298
VD,20211002031500,20275
VD,20211002032000,20318
VD,20211002032500,20387
VD,20211002033000,20342
VD,20211002033500,20233
VD,20211002034000,20142
VD,20211002034500,20160
VD,20211002035000,20255
VD,20211002035500,20344
VD,20211002040000,20422
VD,20211002040500,20483
VD,20211002041000,20514
VD,20211002041500,20510
VD,20211002042000,20387
VD,20211002042500,20273
VD,20211002043000,20256
VD,20211002043500,20357
VD,20211002044000,20409
VD,20211002044500,20465
VD,20211002045000,20545
VD,20211002045500,20570
VD,20211002050000,20442
VD,20211002050500,20586
VD,20211002051000,20763
VD,20211002051500,20743
VD,20211002052000,20788
VD,20211002052500,20968
VD,20211002053000,21138
VD,20211002053500,21261
VD,20211002054000,21481
VD,20211002054500,21602
VD,20211002055000,21806
VD,20211002055500,21970
VD,20211002060000,22156
VD,20211002060500,22527
VD,20211002061000,22707
VD,20211002061500,22837
VD,20211002062000,23001
VD,20211002062500,23201
VD,20211002063000,23392
VD,20211002063500,23604
VD,20211002064000,23822
VD,20211002064500,24143
VD,20211002065000,24459
VD,20211002065500,24636
VD,20211002070000,24783
VD,20211002070500,25211
VD,20211002071000,25493
VD,20211002071500,25720
VD,20211002072000,25928
VD,20211002072500,26166
VD,20211002073000,26384
VD,20211002073500,26563
VD,20211002074000,26751
VD,20211002074500,26840
VD,20211002075000,27044
VD,20211002075500,27227
VD,20211002080000,27386
VD,20211002080500,27609
VD,20211002081000,27869
VD,20211002081500,27942
VD,20211002082000,27996
VD,20211002082500,28104
VD,20211002083000,28150
VD,20211002083500,28123
VD,20211002084000,28139
VD,20211002084500,28236
VD,20211002085000,28380
VD,20211002085500,28465
VD,20211002090000,28538
VD,20211002090500,28570
VD,20211002091000,28804
VD,20211002091500,29058
VD,20211002092000,29173
VD,20211002092500,29082
VD,20211002093000,29089
VD,20211002093500,29255
VD,20211002094000,29443
VD,20211002094500,29444
VD,20211002095000,29532
VD,20211002095500,29530
VD,20211002100000,29485
VD,20211002100500,29659
VD,20211002101000,29743
VD,20211002101500,29714
VD,20211002102000,29676
VD,20211002102500,29719
VD,20211002103000,29731
VD,20211002103500,29762
VD,20211002104000,29754
VD,20211002104500,29870
VD,20211002105000,29946
VD,20211002105500,30027
VD,20211002110000,30113
VD,20211002110500,30303
VD,20211002111000,30342
VD,20211002111500,30373
VD,20211002112000,30500
VD,20211002112500,30541
VD,20211002113000,30596
VD,20211002113500,30541
VD,20211002114000,30629
VD,20211002114500,30637
VD,20211002115000,30560
VD,20211002115500,30518
VD,20211002120000,30444
VD,20211002120500,30445
VD,20211002121000,30277
VD,20211002121500,30274
VD,20211002122000,30207
VD,20211002122500,30191
VD,20211002123000,30020
VD,20211002123500,30056
VD,20211002124000,30022
VD,20211002124500,30026
VD,20211002125000,30029
VD,20211002125500,29847
VD,20211002130000,29618
VD,20211002130500,29642
VD,20211002131000,29521
VD,20211002131500,29412
VD,20211002132000,29329
VD,20211002132500,29269
VD,20211002133000,29184
VD,20211002133500,29316
VD,20211002134000,29248
VD,20211002134500,29248
VD,20211002135000,29183
VD,20211002135500,29108
VD,20211002140000,29122
VD,20211002140500,29247
VD,20211002141000,29612
VD,20211002141500,29623
VD,20211002142000,29788
VD,20211002142500,29824
VD,20211002143000,29815
VD,20211002143500,29906
VD,20211002144000,29922
VD,20211002144500,29934
VD,20211002145000,29974
VD,20211002145500,30042
VD,20211002150000,30119
VD,20211002150500,30187
VD,20211002151000,30130
VD,20211002151500,30128
VD,20211002152000,30178
VD,20211002152500,30287
VD,20211002153000,30380
VD,20211002153500,30577
VD,20211002154000,30664
VD,20211002154500,30770
VD,20211002155000,30859
VD,20211002155500,30925
VD,20211002160000,31044
VD,20211002160500,31372
VD,20211002161000,31564
VD,20211002161500,31690
VD,20211002162000,31941
VD,20211002162500,32089
VD,20211002163000,32135
VD,20211002163500,32067
VD,20211002164000,32063
VD,20211002164500,32168
VD,20211002165000,32305
VD,20211002165500,32357
VD,20211002170000,32365
VD,20211002170500,32415
VD,20211002171000,32484
VD,20211002171500,32552
VD,20211002172000,32608
VD,20211002172500,32620
VD,20211002173000,32588
VD,20211002173500,32644
VD,20211002174000,32682
VD,20211002174500,32698
VD,20211002175000,32811
VD,20211002175500,32902
VD,20211002180000,32860
VD,20211002180500,32942
VD,20211002181000,32982
VD,20211002181500,32947
VD,20211002182000,32896
VD,20211002182500,32768
VD,20211002183000,32626
VD,20211002183500,32468
VD,20211002184000,32290
VD,20211002184500,32131
VD,20211002185000,31738
VD,20211002185500,31606
VD,20211002190000,31444
VD,20211002190500,31327
VD,20211002191000,31205
VD,20211002191500,30933
VD,20211002192000,30735
VD,20211002192500,30570
VD,20211002193000,30441
VD,20211002193500,30329
VD,20211002194000,30124
VD,20211002194500,30042
VD,20211002195000,29858
VD,20211002195500,29700
VD,20211002200000,29612
VD,20211002200500,29665
VD,20211002201000,29574
VD,20211002201500,29321
VD,20211002202000,29060
VD,20211002202500,28819
VD,20211002203000,28546
VD,20211002203500,28264
VD,20211002204000,28063
VD,20211002204500,27763
VD,20211002205000,27489
VD,20211002205500,27323
VD,20211002210000,27133
VD,20211002210500,26926
VD,20211002211000,26708
VD,20211002211500,26456
VD,20211002212000,26314
VD,20211002212500,26094
VD,20211002213000,25965
VD,20211002213500,25825
VD,20211002214000,25466
VD,20211002214500,25223
VD,20211002215000,25089
VD,20211002215500,24982
VD,20211002220000,24882
VD,20211002220500,24715
VD,20211002221000,24918
VD,20211002221500,24715
VD,20211002222000,24429
VD,20211002222500,24001
VD,20211002223000,23815
VD,20211002223500,23538
VD,20211002224000,23372
VD,20211002224500,23240
VD,20211002225000,23059
VD,20211002225500,22916
VD,20211002230000,22857
VD,20211002230500,22738
VD,20211002231000,22525
VD,20211002231500,22344
VD,20211002232000,22197
VD,20211002232500,21916
VD,20211002233000,21887
VD,20211002233500,21992
VD,20211002234000,21936
VD,20211002234500,21873
VD,20211002235000,21786
VD,20211002235500,21561
FTR,576
